name,time
Knights and Merchants,2.2944444444444443
Knights of Pen and Paper +1,5.583333333333333
Krater,6.1000000000000005
L.A. Noire,15.70138888888889
LEGO MARVEL Super Heroes,26.75263157894737
LEGO The Hobbit,29.545454545454547
LEGO The Lord of the Rings,7.95
LEGO Worlds,6.035714285714286
LIMBO,2.9119047619047618
LUFTRAUSERS,2.2600000000000002
La Tale,7.568421052631578
Lara Croft and the Guardian of Light,3.6115384615384616
Lead and Gold - Gangs of the Wild West,3.658333333333333
Left 4 Dead,42.45049019607843
Left 4 Dead 2,34.57230576441103
Legend of Grimrock,11.705714285714285
Legendary,1.0
Lego Harry Potter,9.176923076923076
Lethal League,2.2333333333333334
Lichdom Battlemage,4.381818181818182
Life Is Strange,13.689473684210528
Life is Feudal Your Own,28.353846153846156
Little Inferno,7.532
Loadout,7.908474576271186
Loadout Campaign Beta,5.347368421052631
Lone Survivor The Director's Cut,0.9052631578947368
Long Live The Queen,2.94
Lords Of The Fallen,14.611764705882353
Lost Planet 3,10.700000000000001
Lost Planet Extreme Condition,3.429411764705882
Lucius,4.454166666666667
METAL GEAR RISING REVENGEANCE,10.049999999999999
METAL GEAR SOLID V GROUND ZEROES,7.228571428571429
METAL GEAR SOLID V THE PHANTOM PAIN,56.94
METAL SLUG 3,3.5904761904761906
MURDERED SOUL SUSPECT,5.194444444444445
Machinarium,4.323529411764706
Mad Max,16.952
Madballs in...Babo Invasion,1.6800000000000002
Mafia II,24.943103448275863
Magic 2014 ,27.65
Magic 2015,24.877777777777776
Magic Duels,12.195714285714287
Magic The Gathering  Duels of the Planeswalkers 2012,28.994444444444444
Magic The Gathering - Duels of the Planeswalkers,21.3
Magic The Gathering - Duels of the Planeswalkers 2013,16.433333333333334
Magicite,14.164705882352942
Magicka,10.641450777202074
Magicka 2,3.93125
Magicka Wizard Wars,4.207826086956522
MapleStory,30.657142857142855
March of War,8.047058823529412
Mark of the Ninja,5.973239436619719
Mars War Logs,4.3545454545454545
Marvel Heroes 2015,19.434545454545457
Mass Effect,37.823188405797104
Mass Effect 2,44.5
Max Payne,5.06875
Max Payne 2 The Fall of Max Payne,8.7
Max Payne 3,20.8752688172043
McPixel,2.7210526315789476
Medal of Honor Airborne,26.330000000000002
Medal of Honor(TM) Multiplayer,6.2475000000000005
Medal of Honor(TM) Single Player,4.9837209302325585
Medieval Engineers,3.253333333333333
Medieval II Total War,43.21052631578947
Medieval II Total War Kingdoms,48.49411764705883
Men of War,24.008333333333336
Men of War Assault Squad,62.98
Men of War Assault Squad 2,69.0
Mercenary Kings,7.56
Metro 2033,8.946857142857143
Metro 2033 Redux,6.6763157894736835
Metro Conflict,4.39375
Metro Last Light,13.275903614457832
Metro Last Light Redux,8.85357142857143
MicroVolts Surge,7.542105263157896
Microsoft Flight Simulator X Steam Edition,19.42142857142857
Middle-earth Shadow of Mordor,23.963917525773194
Might & Magic Duel of Champions,104.65714285714286
Might & Magic Heroes VI,100.96341463414635
Minimum,6.0636363636363635
Mirror's Edge,4.482352941176471
Mitos.is The Game,3.6981818181818182
Modular Combat,1.0733333333333333
Monaco,2.646875
Monday Night Combat,6.968421052631579
Moonbase Alpha,2.22
Mortal Kombat Kollection,2.182352941176471
Mortal Kombat Komplete Edition,20.373846153846152
Mortal Kombat X,33.38108108108108
Mortal Online,1.3499999999999999
Mount & Blade,25.086206896551722
Mount & Blade Warband,106.95185185185184
Mount & Blade With Fire and Sword,33.93181818181818
Mount Your Friends,4.8
Mountain,25.683333333333334
NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,18.71081081081081
NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution,15.053846153846154
NBA 2K14,93.21875
NBA 2K15,135.73499999999999
NBA 2K16,82.77499999999999
NEOTOKYO,2.2266666666666666
Napoleon Total War,53.57142857142857
Nation Red,6.6923076923076925
